"","Tweet","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"54","wait a minute the philippines is on lockdown so that means its basically the purge bitch i will break into my teacher’s house and k word some bitches literally my hit list has purpose",2,1,1,2,0,1,1,2,4,2
"55","The day isn't over. Philippines Covid-19 cases reaches 3 digits. As of 9pm March 14 or three hours before lockdown, 13 more cases are confirmed. This brings total to 111 cases including 8 deaths. ",0,0,0,0,0,0,0,1,0,3
"56","LATEST: Two new deaths in the Philippines, bringing total to 8. It has been a bad week for the country. Confirmed coronavirus cases spiked from 10 cases as of March 8 to 64 cases as of March 13. Lockdown of Metro Manila begins Monday. Curfew is imposed, too, from 8pm to 5am. ",1,0,1,1,0,1,0,1,1,2
"57","",0,0,0,0,0,0,0,0,0,0
"58","Large number of Indian students in Philippines stranded and helpless due to lockdown. Desperate to return home before the situation worsens ",0,0,0,1,0,1,0,0,3,0
"59","Large number of Indian students in Philippines stranded and helpless due to lockdown. Desperate to return home before the situation worsens ",0,0,0,1,0,1,0,0,3,0
"60","INFO: Community quarantine (or lockdown, not totally) will be imposed in some provinces/areas in the Philippines due to coronavirus disease (COVID-19).  This means that travel in and out in an area is restricted.

Source: Philippine Emergency Alerts ",1,1,1,4,0,2,2,0,2,1
"61","",0,0,0,0,0,0,0,0,0,0
"62","",0,0,0,0,0,0,0,0,0,0
"63","the Philippines is currently on lockdown pls keepsafe everyone as an employee in the government we will be on the frontline to ensure the safety of everyone I hope nothing will worsen this situation and I really want this virus to end",0,1,0,1,1,0,1,1,2,1
"64","OMG Philippines Lockdown is hella scary!
Its like the real purge!",0,0,0,1,0,0,0,1,1,1
"65","",0,0,0,0,0,0,0,0,0,0
"66","""BREAKING: Philippines confirms 13 new cases of COVID-19, bringing a total of 111.""

JUST LIKE THAT. 3 HOURS BEFORE THE LOCKDOWN.",0,0,0,0,0,0,0,0,0,0
"67","Philippines ask citizens to do preventive measures (stay indoors, lockdown.. Etc)
People: nooo! Dictator ka! We will not bow down to military power! You'll use this as an excuse for martial law! 

<U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644>",1,0,0,2,0,0,0,1,3,0
"68","",0,0,0,0,0,0,0,0,0,0
"69","An aerial view of traffic at North Luzon Expressway hours before Manila is placed on lockdown, on March 14, 2020 in the outskirts of Metro Manila, Philippines.

 (Photo by Ezra Acayan for Getty Images) ",0,0,0,0,0,0,0,0,0,1
"70","Coronavirus lockdown strikes fear among Manila's poor | Philippines News | Al Jazeera ",1,0,0,1,0,0,0,0,1,0
"71","Happy Birthday mom <U+2764><U+FE0F> Stay safe at Philippines . Kat sana Authorised lockdown . So my mom takleh keluar <U+0001F97A> I miss you ..  btw she is a fans of Rossa Glow Essence by ",0,3,0,0,4,0,1,3,0,4
"72","Philippine capital on lockdown to contain coronavirus ",0,0,0,0,0,0,0,0,0,0
"73","cry babies of the philippines be like: lockdown na martial law na, may tanke na sa kalsada <U+0001F62D><U+0001F62D> govt betrayed us huhuhu ",1,0,0,0,0,1,0,1,1,0
"74","",0,0,0,0,0,0,0,0,0,0
"75","",0,0,0,0,0,0,0,0,0,0
"76","In the ",0,0,0,0,0,0,0,0,0,0
"77","""Uhh... Riku? A little help?""

Our concept is about these two best buddies moving in together! We worked on this set a couple of weeks before the capital wide lockdown here in the Philippines. Unfortunately, this… ",0,0,0,0,0,0,0,0,0,0
"78","When Italy declared ",0,0,0,0,0,0,0,0,0,0
"79","Metro Manila in the Philippines is in an effective lockdown Panic buying &amp; evac of visitors occurring 
President Duterte  ordered: ""Community quarantine is hereby imposed in the entire of Metro Manila""
Effective from 15 Mar - 14 Apr ",0,0,0,2,0,0,0,2,2,3
"80","Philippines situation escalating due to several politicians &amp; senior medical staff all being confirmed as infected with ",0,1,0,1,0,0,0,2,0,2
"81","Na lockdown ang China 1month ago, Praying for a fully recovered patients in their nations. And also I pray for Philippines fast recovery that cause of COVID-19 not to spread anymore, including our President Duterte's health. Be safe everyone! <U+0001F64F>",0,1,0,1,2,0,1,4,0,6
